date,positive_count,negative_count,neutral_count,avg_sentiment_score
2021-06-24,0,1,0,-0.9999125663380255
2021-06-25,0,1,0,-0.9979982367440243
2021-06-28,0,1,1,-0.6059469619940501
2021-06-29,2,1,0,0.3063125948724708
2021-06-30,0,2,0,-0.9996314048585191
2021-07-01,0,1,0,-0.9999588777109238
2021-07-02,1,0,1,0.42778074339730665
2021-07-05,0,2,3,-0.4012544719741717
2021-07-06,3,0,0,0.9943718408765108
2021-07-08,0,1,0,-0.9999878029830143
2021-07-09,2,1,1,0.25295323528916924
2021-07-12,0,1,0,-0.9993936232431224
2021-07-13,0,1,1,-0.4999197817133165
2021-07-15,1,0,2,0.2737182953506097
2021-07-16,1,2,2,-0.2742866653139572
2021-07-17,0,4,1,-0.8148661168259395
2021-07-19,6,4,1,0.1795679252176721
2021-07-20,2,1,1,0.01832774623790101
2021-07-21,0,2,0,-0.9999981333636043
2021-07-22,0,1,0,-0.9998258144041756
2021-07-23,0,1,0,-0.9976529921405017
2021-07-26,0,1,0,-0.9993200007593259
2021-07-27,0,2,0,-0.9997938408096161
2021-07-28,0,1,1,-0.528828590107878
2021-07-30,1,1,0,-0.05329599823016906
2021-07-31,0,1,0,-0.9999538823976764
2021-08-02,0,4,0,-0.9999327273081917
2021-08-03,0,1,0,-0.9990210538635438
2021-08-04,0,2,0,-0.9999713627061908
2021-08-05,0,1,1,-0.5829384555618162
2021-08-06,1,2,0,-0.36729788446609746
2021-08-09,0,2,1,-0.7110746205144096
2021-08-10,1,1,1,-0.01985624746699462
2021-08-11,0,1,1,-0.6176996177255205
2021-08-12,0,1,1,-0.5031240559110302
2021-08-13,1,3,0,-0.4999619794239152
2021-08-14,0,2,0,-0.9999134238933038
2021-08-16,1,0,0,0.9989141400437802
2021-08-17,0,2,0,-0.999903777316149
2021-08-18,0,4,2,-0.666109629287528
2021-08-19,1,0,0,0.981989921303466
2021-08-20,0,5,1,-0.8330750750835705
2021-08-21,0,1,0,-0.9994219803193118
2021-08-23,0,1,3,-0.24159487627252751
2021-08-24,0,0,2,0.04095342569053173
2021-08-25,0,0,1,-0.1949435364222154
2021-08-26,1,0,0,0.9534098040312529
2021-08-30,0,0,1,-0.0001513641036581248
2021-08-31,0,0,1,-1.4697246513151185e-06
2021-09-01,0,1,0,-0.327098548412323
2021-09-03,0,1,0,-0.7701953659416176
2021-09-07,0,1,1,-0.5924769582634326
2021-09-08,0,1,0,-0.9999717035780122
2021-09-09,1,0,0,0.9737099753692746
2021-09-13,2,0,1,0.6664465578558065
2021-09-15,1,0,1,0.4785115379653817
2021-09-16,1,1,0,-0.0188751018874882
2021-09-17,0,1,0,-0.985231970786117
2021-09-20,0,2,0,-0.9999609104042975
2021-09-21,0,1,1,-0.4999758965887935
2021-09-22,0,1,0,-0.9996384681617201
2021-09-23,0,3,0,-0.9304294632096841
2021-09-24,1,1,1,-0.09297619872722862
2021-09-27,0,2,1,-0.6775216283795847
2021-09-28,0,2,0,-0.9999441149451513
2021-09-29,1,0,2,0.2502496090087334
2021-10-01,0,1,0,-0.8906100429594517
2021-10-05,0,1,0,-0.9999976175945733
2021-10-06,0,0,1,-0.07109697153646266
2021-10-07,0,1,0,-0.9997603720730694
2021-10-08,2,1,1,-0.10996564486208626
2021-10-12,0,0,2,-0.0002764023442978214
2021-10-14,0,2,3,-0.4579806338936123
2021-10-16,0,3,0,-0.9999376408059106
2021-10-18,0,4,3,-0.577078513655339
2021-10-19,0,0,2,-0.0915749095768632
2021-10-20,0,1,0,-0.9999867187648306
2021-10-21,0,1,0,-0.999973188317199
2021-10-22,0,2,0,-0.9999284610344148
2021-10-25,0,0,1,9.515344068233844e-10
2021-10-26,0,1,0,-0.9912419822067022
2021-10-27,0,2,0,-0.999784379007906
2021-10-28,0,3,0,-0.9995551995016285
2021-10-29,0,2,0,-0.9998335733234853
2021-10-30,0,1,0,-0.9997503502745531
2021-11-01,0,0,1,-3.0590296660193417e-06
2021-11-03,0,2,0,-0.8071672723801839
2021-11-04,0,0,1,-0.004491104918997735
2021-11-09,4,3,0,0.032843647067888275
2021-11-10,0,2,0,-0.9992333447964938
2021-11-11,0,1,0,-0.9997492777692969
2021-11-12,0,2,1,-0.6316614015525547
2021-11-15,0,1,2,-0.2326196952321856
2021-11-16,0,0,1,-0.0038769468083046377
2021-11-17,1,5,0,-0.6804913681304091
2021-11-18,0,3,0,-0.9999314470004114
2021-11-19,0,0,1,-0.1787497556360904
2021-11-22,0,0,1,-0.003694778337376192
2021-11-23,1,2,0,-0.3979537389952081
2021-11-24,0,1,0,-0.999995869594386
2021-11-26,1,0,0,0.9998059130157344
2021-11-29,1,1,0,-0.018321299030503724
2021-11-30,1,2,2,-0.23895635404240637
2021-12-01,0,1,1,-0.4815376074355413
2021-12-02,0,1,0,-0.999955479417622
2021-12-03,0,1,0,-0.9999419189989567
2021-12-06,0,1,0,-0.9999619360933139
2021-12-08,1,0,0,0.9937145186122507
2021-12-09,1,1,0,0.025344769877847284
2021-12-10,1,0,0,0.9573251251131296
2021-12-13,1,0,1,0.41999842061932213
2021-12-14,0,1,1,-0.6210281036597678
2021-12-15,1,2,0,-0.3618679681359633
2021-12-17,1,0,0,0.9997628877536044
2021-12-20,1,0,0,0.9997293528213049
2021-12-21,0,1,0,-0.9999956246545025
2021-12-24,0,1,1,-0.4999484917924377
2021-12-27,0,1,1,-0.5972613273727347
2021-12-28,1,1,1,-0.07073138126270351
2021-12-29,1,0,0,0.914333950728178
2021-12-30,0,0,1,-0.04582420166116208
2022-01-03,0,0,1,-1.5811699370260612e-05
2022-01-04,0,0,2,-0.0006187081532651462
2022-01-05,0,1,1,-0.5387453141229344
2022-01-07,0,2,1,-0.6668889277935554
2022-01-10,1,0,0,0.8405757993459702
2022-01-11,0,1,1,-0.5492763085121624
2022-01-12,0,0,2,-0.049605389200223726
2022-01-13,0,3,2,-0.5790693269890653
2022-01-15,0,3,0,-0.9999606249672676
2022-01-17,1,2,3,-0.1762962544357348
2022-01-18,1,1,0,0.022574727780011017
2022-01-20,0,1,0,-0.9999090726778377
2022-01-21,1,1,0,-0.06087416909758758
2022-01-24,0,0,1,-3.2705265162746855e-09
2022-01-25,1,1,0,-0.005450406280942843
2022-01-27,2,1,0,0.30735133805743925
2022-01-29,0,1,0,-0.9998636078598793
2022-01-31,0,1,0,-0.9997081811452517
2022-02-01,1,1,0,0.10313713923096657
2022-02-02,0,2,0,-0.9999395528416244
2022-02-03,0,2,0,-0.9999726359467331
2022-02-04,0,2,1,-0.7262233449873747
2022-02-07,2,0,1,0.6654113443067521
2022-02-08,0,3,0,-0.9997407628942719
2022-02-09,0,0,2,-0.039675447007826575
2022-02-10,0,1,1,-0.5005239051602928
2022-02-11,0,1,0,-0.8115889448672533
2022-02-14,1,5,0,-0.6616236483035512
2022-02-15,0,2,1,-0.673452512463579
2022-02-16,1,0,0,0.914333950728178
2022-02-17,0,1,0,-0.9999924051328435
2022-02-18,1,3,0,-0.5558851392743236
2022-02-21,0,1,0,-0.9999072038081067
2022-02-22,0,1,0,-0.9999711452219344
2022-02-23,0,0,1,-0.07935082442418206
2022-02-28,3,0,1,0.7456097147378651
2022-03-02,1,0,0,0.9913161703734659
2022-03-03,0,0,1,-0.002240969939208526
2022-03-04,1,0,0,0.999571175663732
2022-03-07,1,1,0,-0.05221269785397453
2022-03-08,1,1,0,-1.9440935943748627e-05
2022-03-09,0,0,1,-1.107689831769676e-05
2022-03-10,1,2,0,-0.3585993636103619
2022-03-11,1,1,0,-0.11414202371247484
2022-03-12,0,2,0,-0.9980563462722785
2022-03-14,1,0,7,0.07570008294355546
2022-03-15,0,1,0,-0.9998581866675522
2022-03-16,0,1,0,-0.9992572957817174
2022-03-17,0,1,0,-0.9996384681617201
2022-03-18,0,0,1,-2.4373868768634566e-05
2022-03-23,0,2,1,-0.6665546302062637
2022-03-24,2,0,1,0.6905496310937451
2022-03-25,0,1,0,-0.9999728869825049
2022-03-28,0,2,0,-0.9999696749009672
2022-03-29,0,2,0,-0.9998865567104076
2022-03-30,0,2,0,-0.9996482376845961
2022-03-31,1,0,0,0.9237438775599003
2022-04-01,0,1,2,-0.3333395976316
2022-04-03,0,1,0,-0.9999179918340815
2022-04-04,0,7,5,-0.5643793546024473
2022-04-05,6,0,0,0.9889136592974808
2022-04-06,2,0,0,0.8625442797747382
2022-04-07,0,4,0,-0.974579768884098
